2018-11-17 02:16:04.300 INFO  com.hcq.socket.server.Server - 服务端开始启动
2018-11-17 02:16:04.404 INFO  com.hcq.socket.client.Client - 表达式为 ：3-6
2018-11-17 02:16:04.409 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3-6
2018-11-17 02:16:04.410 INFO  com.hcq.socket.client.Client - -3
2018-11-17 02:16:04.412 INFO  com.hcq.socket.client.Client - 表达式为 ：9*10
2018-11-17 02:16:04.413 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9*10
2018-11-17 02:16:04.413 INFO  com.hcq.socket.client.Client - 2793
2018-11-17 02:16:04.413 INFO  com.hcq.socket.client.Client - 表达式为 ：2/7
2018-11-17 02:16:04.414 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2/7
2018-11-17 02:16:04.414 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.415 INFO  com.hcq.socket.client.Client - 表达式为 ：3+3
2018-11-17 02:16:04.416 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3+3
2018-11-17 02:16:04.417 INFO  com.hcq.socket.client.Client - 102
2018-11-17 02:16:04.420 INFO  com.hcq.socket.client.Client - 表达式为 ：2+1
2018-11-17 02:16:04.421 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2+1
2018-11-17 02:16:04.421 INFO  com.hcq.socket.client.Client - 99
2018-11-17 02:16:04.422 INFO  com.hcq.socket.client.Client - 表达式为 ：7-3
2018-11-17 02:16:04.423 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7-3
2018-11-17 02:16:04.423 INFO  com.hcq.socket.client.Client - 4
2018-11-17 02:16:04.424 INFO  com.hcq.socket.client.Client - 表达式为 ：8*7
2018-11-17 02:16:04.429 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8*7
2018-11-17 02:16:04.431 INFO  com.hcq.socket.client.Client - 3080
2018-11-17 02:16:04.431 INFO  com.hcq.socket.client.Client - 表达式为 ：5+5
2018-11-17 02:16:04.432 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5+5
2018-11-17 02:16:04.433 INFO  com.hcq.socket.client.Client - 106
2018-11-17 02:16:04.433 INFO  com.hcq.socket.client.Client - 表达式为 ：2*7
2018-11-17 02:16:04.434 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2*7
2018-11-17 02:16:04.434 INFO  com.hcq.socket.client.Client - 2750
2018-11-17 02:16:04.435 INFO  com.hcq.socket.client.Client - 表达式为 ：9+8
2018-11-17 02:16:04.436 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9+8
2018-11-17 02:16:04.436 INFO  com.hcq.socket.client.Client - 113
2018-11-17 02:16:04.436 INFO  com.hcq.socket.client.Client - 表达式为 ：1-4
2018-11-17 02:16:04.437 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1-4
2018-11-17 02:16:04.438 INFO  com.hcq.socket.client.Client - -3
2018-11-17 02:16:04.438 INFO  com.hcq.socket.client.Client - 表达式为 ：8-4
2018-11-17 02:16:04.439 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8-4
2018-11-17 02:16:04.440 INFO  com.hcq.socket.client.Client - 4
2018-11-17 02:16:04.440 INFO  com.hcq.socket.client.Client - 表达式为 ：3+4
2018-11-17 02:16:04.441 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3+4
2018-11-17 02:16:04.442 INFO  com.hcq.socket.client.Client - 103
2018-11-17 02:16:04.442 INFO  com.hcq.socket.client.Client - 表达式为 ：6/1
2018-11-17 02:16:04.443 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6/1
2018-11-17 02:16:04.443 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.443 INFO  com.hcq.socket.client.Client - 表达式为 ：8/4
2018-11-17 02:16:04.451 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8/4
2018-11-17 02:16:04.451 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.452 INFO  com.hcq.socket.client.Client - 表达式为 ：1*2
2018-11-17 02:16:04.452 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1*2
2018-11-17 02:16:04.453 INFO  com.hcq.socket.client.Client - 2450
2018-11-17 02:16:04.453 INFO  com.hcq.socket.client.Client - 表达式为 ：5+5
2018-11-17 02:16:04.454 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5+5
2018-11-17 02:16:04.454 INFO  com.hcq.socket.client.Client - 106
2018-11-17 02:16:04.455 INFO  com.hcq.socket.client.Client - 表达式为 ：5-5
2018-11-17 02:16:04.456 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5-5
2018-11-17 02:16:04.457 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.457 INFO  com.hcq.socket.client.Client - 表达式为 ：3-2
2018-11-17 02:16:04.458 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3-2
